name_muni_uf_from,name_muni_uf_to,sg_iata_origem,sg_iata_destino,date,year,month,day,total_pass,dist_pair,n_flights,lon_from,lat_from,lon_to,lat_to
sao paulo-sp,porto seguro-ba,CGH,BPS,2020-03-03,2020,3,3,162,1112.24197645069,1,-46.5703831821127,-23.5673865,-39.0621135238902,-16.4490561793642
recife-pe,sao paulo-sp,REC,CGH,2020-03-03,2020,3,3,440,2120.80240335024,5,-34.8889419445777,-8.06276248305241,-46.5703831821127,-23.5673865
sao paulo-sp,recife-pe,CGH,REC,2020-03-04,2020,3,4,751,2120.80240335024,5,-46.5703831821127,-23.5673865,-34.8889419445777,-8.06276248305241
juazeiro do norte-ce,guarulhos-sp,JDO,GRU,2020-03-03,2020,3,3,361,1957.46929839078,3,-39.3169933556143,-7.210766,-46.5310840856611,-23.468506
guarulhos-sp,juazeiro do norte-ce,GRU,JDO,2020-03-04,2020,3,4,432,1957.46929839078,3,-46.5310840856611,-23.468506,-39.3169933556143,-7.210766
macapa-ap,belem-pa,MCP,BEL,2020-03-04,2020,3,4,183,330.560425179575,3,-51.0574054570359,0.03895101,-48.4878256874876,-1.459845
curitiba-pr,foz do iguacu-pr,CWB,IGU,2020-03-04,2020,3,4,294,534.540001007988,4,-49.2718478850774,-25.432956,-54.5871024886046,-25.5424932795293
belem-pa,santarem-pa,BEL,STM,2020-03-03,2020,3,3,320,701.5533575521,4,-48.4878256874876,-1.459845,-54.7185701672711,-2.43621332999996
recife-pe,fernando de noronha-pe,REC,FEN,2020-03-03,2020,3,3,420,539.083116230771,5,-34.8889419445777,-8.06276248305241,-32.4351863280529,-3.85202140078181
manaus-am,porto velho-ro,MAO,PVH,2020-03-03,2020,3,3,318,752.23294540842,4,-60.023335181061,-3.13469149120195,-63.8314456543611,-8.76889179
rio de janeiro-rj,confins-mg,GIG,CNF,2020-03-03,2020,3,3,219,368.199406189062,4,-43.2278751249952,-22.8766521181865,-43.9955960875638,-19.6299482494053
rio de janeiro-rj,campinas-sp,GIG,VCP,2020-03-03,2020,3,3,427,393.210656059303,8,-43.2278751249952,-22.8766521181865,-47.0601562729731,-22.9073425
campinas-sp,rio de janeiro-rj,VCP,GIG,2020-03-03,2020,3,3,605,393.210656059303,8,-47.0601562729731,-22.9073425,-43.2278751249952,-22.8766521181865
