name_muni_uf_from,name_muni_uf_to,sg_iata_origem,sg_iata_destino,year,month,total_pass,dist_pair,n_flights,lon_from,lat_from,lon_to,lat_to,travel_time,top_plane,hourss,minutess
Belem-PA,Macapa-AP,BEL,MCP,2020,5,1885,330.560425179575,29,-48.4878256874876,-1.459845,-51.0574054570359,0.03895101,55 minutos,AIRBUS A320-100/200,0,55
Belem-PA,Macapa-AP,BEL,MCP,2020,6,4055,330.560425179575,41,-48.4878256874876,-1.459845,-51.0574054570359,0.03895101,55 minutos,AIRBUS A320-100/200,0,55
Belem-PA,Manaus-AM,BEL,MAO,2020,1,10951,1296.34977313357,108,-48.4878256874876,-1.459845,-60.023335181061,-3.13469149120195,2 horas e 4 minutos,AIRBUS A320-100/200,2,4
Belem-PA,Manaus-AM,BEL,MAO,2020,2,10425,1296.34977313357,112,-48.4878256874876,-1.459845,-60.023335181061,-3.13469149120195,2 horas e 4 minutos,AIRBUS A320-100/200,2,4
Belem-PA,Manaus-AM,BEL,MAO,2020,3,6822,1296.34977313357,79,-48.4878256874876,-1.459845,-60.023335181061,-3.13469149120195,2 horas e 4 minutos,AIRBUS A320-100/200,2,4
Belem-PA,Manaus-AM,BEL,MAO,2020,4,239,1296.34977313357,4,-48.4878256874876,-1.459845,-60.023335181061,-3.13469149120195,2 horas e 4 minutos,AIRBUS A320-100/200,2,4
Belem-PA,Manaus-AM,BEL,MAO,2020,5,61,1296.34977313357,2,-48.4878256874876,-1.459845,-60.023335181061,-3.13469149120195,2 horas e 4 minutos,AIRBUS A320-100/200,2,4
Belem-PA,Manaus-AM,BEL,MAO,2020,6,0,1296.34977313357,2,-48.4878256874876,-1.459845,-60.023335181061,-3.13469149120195,2 horas e 4 minutos,AIRBUS A320-100/200,2,4
Belem-PA,Santarem-PA,BEL,STM,2020,1,12666,701.5533575521,149,-48.4878256874876,-1.459845,-54.7185701672711,-2.43621332999996,1 hora e 26 minutos,AIRBUS A320-100/200,1,26
Belem-PA,Santarem-PA,BEL,STM,2020,2,9643,701.5533575521,96,-48.4878256874876,-1.459845,-54.7185701672711,-2.43621332999996,1 hora e 26 minutos,AIRBUS A320-100/200,1,26
Belem-PA,Santarem-PA,BEL,STM,2020,3,7138,701.5533575521,79,-48.4878256874876,-1.459845,-54.7185701672711,-2.43621332999996,1 hora e 26 minutos,AIRBUS A320-100/200,1,26
Belem-PA,Santarem-PA,BEL,STM,2020,5,1192,701.5533575521,25,-48.4878256874876,-1.459845,-54.7185701672711,-2.43621332999996,1 hora e 26 minutos,AIRBUS A320-100/200,1,26
Belem-PA,Santarem-PA,BEL,STM,2020,6,1781,701.5533575521,41,-48.4878256874876,-1.459845,-54.7185701672711,-2.43621332999996,1 hora e 26 minutos,AIRBUS A320-100/200,1,26
Brasilia-DF,Bayeux-PB,BSB,JPA,2020,1,15676,1706.69265290646,89,-47.8879054780313,-15.794087361891,-34.9291858200857,-7.132276485,2 horas e 37 minutos,AIRBUS A321-100/200,2,37
Brasilia-DF,Bayeux-PB,BSB,JPA,2020,2,9222,1706.69265290646,57,-47.8879054780313,-15.794087361891,-34.9291858200857,-7.132276485,2 horas e 37 minutos,AIRBUS A321-100/200,2,37
Brasilia-DF,Bayeux-PB,BSB,JPA,2020,3,6635,1706.69265290646,48,-47.8879054780313,-15.794087361891,-34.9291858200857,-7.132276485,2 horas e 37 minutos,AIRBUS A321-100/200,2,37
Brasilia-DF,Belem-PA,BSB,BEL,2020,1,16710,1586.8026450585,125,-47.8879054780313,-15.794087361891,-48.4878256874876,-1.459845,2 horas e 29 minutos,BOEING 737-800,2,29
Brasilia-DF,Belem-PA,BSB,BEL,2020,2,16481,1586.8026450585,143,-47.8879054780313,-15.794087361891,-48.4878256874876,-1.459845,2 horas e 29 minutos,BOEING 737-800,2,29
Brasilia-DF,Belem-PA,BSB,BEL,2020,3,12828,1586.8026450585,122,-47.8879054780313,-15.794087361891,-48.4878256874876,-1.459845,2 horas e 29 minutos,BOEING 737-800,2,29
Brasilia-DF,Belem-PA,BSB,BEL,2020,4,635,1586.8026450585,7,-47.8879054780313,-15.794087361891,-48.4878256874876,-1.459845,2 horas e 29 minutos,BOEING 737-800,2,29
Brasilia-DF,Belem-PA,BSB,BEL,2020,5,565,1586.8026450585,8,-47.8879054780313,-15.794087361891,-48.4878256874876,-1.459845,2 horas e 29 minutos,BOEING 737-800,2,29
Brasilia-DF,Belem-PA,BSB,BEL,2020,6,1065,1586.8026450585,9,-47.8879054780313,-15.794087361891,-48.4878256874876,-1.459845,2 horas e 29 minutos,BOEING 737-800,2,29
